method,eval_split,physical_perturbation_profile,actual,predicted,count,rate
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Albite,Albite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Aragonite,Aragonite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Baryte,Baryte,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Calcite,Calcite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Chalcopyrite,Chalcopyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Dolomite,Dolomite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Fluorite,Fluorite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Galena,Galena,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Goethite,Goethite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Gypsum,Gypsum,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Hematite,Hematite,3,0.75
