material,support,recall,miss_count,common_confusions,failure_status,next_action
Hematite,60,0.5666666666666667,26,Magnetite:26,fail,repeat_hard_negative_training_or_v7b
Magnetite,60,0.5166666666666667,29,Hematite:29,fail,repeat_hard_negative_training_or_v7b
