row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
23,v3_hm_smoke,material,Pyrite,mono_200kev,10.0,1301,0,2.853,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_200kev_10mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_200kev_10mm_seed1301
24,v3_hm_smoke,material,Pyrite,mono_40kev,20.0,1201,0,2.841,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_40kev_20mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_40kev_20mm_seed1201
25,v3_hm_smoke,material,Pyrite,mono_40kev,20.0,1301,0,2.773,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_40kev_20mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_40kev_20mm_seed1301
26,v3_hm_smoke,material,Pyrite,mono_70kev,20.0,1201,0,2.806,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_70kev_20mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_70kev_20mm_seed1201
27,v3_hm_smoke,material,Pyrite,mono_70kev,20.0,1301,0,2.851,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_70kev_20mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_70kev_20mm_seed1301
28,v3_hm_smoke,material,Pyrite,mono_110kev,20.0,1201,0,2.959,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_110kev_20mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_110kev_20mm_seed1201
29,v3_hm_smoke,material,Pyrite,mono_110kev,20.0,1301,0,2.719,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_110kev_20mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_110kev_20mm_seed1301
30,v3_hm_smoke,material,Pyrite,mono_200kev,20.0,1201,0,2.826,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_200kev_20mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_200kev_20mm_seed1201
31,v3_hm_smoke,material,Pyrite,mono_200kev,20.0,1301,0,2.903,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_200kev_20mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_200kev_20mm_seed1301
32,v3_hm_smoke,material,Hematite,mono_40kev,5.0,1201,0,2.746,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_5mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_40kev_5mm_seed1201
33,v3_hm_smoke,material,Hematite,mono_40kev,5.0,1301,0,2.713,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_5mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_40kev_5mm_seed1301
34,v3_hm_smoke,material,Hematite,mono_70kev,5.0,1201,0,2.855,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_5mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_70kev_5mm_seed1201
35,v3_hm_smoke,material,Hematite,mono_70kev,5.0,1301,0,2.834,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_5mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_70kev_5mm_seed1301
36,v3_hm_smoke,material,Hematite,mono_110kev,5.0,1201,0,2.912,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_5mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_110kev_5mm_seed1201
37,v3_hm_smoke,material,Hematite,mono_110kev,5.0,1301,0,2.825,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_5mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_110kev_5mm_seed1301
38,v3_hm_smoke,material,Hematite,mono_200kev,5.0,1201,0,3.066,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_5mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_200kev_5mm_seed1201
39,v3_hm_smoke,material,Hematite,mono_200kev,5.0,1301,0,3.103,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_5mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_200kev_5mm_seed1301
40,v3_hm_smoke,material,Hematite,mono_40kev,10.0,1201,0,2.829,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1201
41,v3_hm_smoke,material,Hematite,mono_40kev,10.0,1301,0,2.799,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1301
42,v3_hm_smoke,material,Hematite,mono_70kev,10.0,1201,0,2.810,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1201
43,v3_hm_smoke,material,Hematite,mono_70kev,10.0,1301,0,2.899,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1301
44,v3_hm_smoke,material,Hematite,mono_110kev,10.0,1201,0,2.871,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1201
45,v3_hm_smoke,material,Hematite,mono_110kev,10.0,1301,0,2.842,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1301
46,v3_hm_smoke,material,Hematite,mono_200kev,10.0,1201,0,2.776,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1201
47,v3_hm_smoke,material,Hematite,mono_200kev,10.0,1301,0,2.909,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1301
48,v3_hm_smoke,material,Hematite,mono_40kev,20.0,1201,0,2.630,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1201
49,v3_hm_smoke,material,Hematite,mono_40kev,20.0,1301,0,2.841,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1301
50,v3_hm_smoke,material,Hematite,mono_70kev,20.0,1201,0,2.743,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1201
51,v3_hm_smoke,material,Hematite,mono_70kev,20.0,1301,0,2.707,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1301
52,v3_hm_smoke,material,Hematite,mono_110kev,20.0,1201,0,2.750,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1201
53,v3_hm_smoke,material,Hematite,mono_110kev,20.0,1301,0,2.822,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1301
54,v3_hm_smoke,material,Hematite,mono_200kev,20.0,1201,0,2.974,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1201
55,v3_hm_smoke,material,Hematite,mono_200kev,20.0,1301,0,3.027,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1301
56,v3_hm_smoke,material,Magnetite,mono_40kev,5.0,1201,0,2.905,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1201
57,v3_hm_smoke,material,Magnetite,mono_40kev,5.0,1301,0,2.824,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1301
