split,physical_perturbation_profile,seed_block,material,peak_sum_hematite,peak_sum_magnetite,peak_sum_ilmenite,peak_sum_goethite,peak_sum_siderite,peak_sum_rutile,diffraction_window_hematite_unique_sum,diffraction_window_magnetite_unique_sum,diffraction_window_all_peaks_sum,hematite_minus_ilmenite_peak_sum,magnetite_minus_ilmenite_peak_sum
stress_holdout,calibration_shift_stress_neg,ho_scale_001,Goethite,0.28225,0.28974999999999995,0.285,0.558125,0.24162500000000003,0.207125,0.0,0.0,0.6251249999999999,-0.0027499999999999747,0.0047499999999999765
stress_holdout,calibration_shift_stress_neg,ho_scale_001,Hematite,0.446125,0.298875,0.441125,0.49587500000000007,0.331,0.265,0.0,0.002625,0.641625,0.0050000000000000044,-0.14225
stress_holdout,calibration_shift_stress_neg,ho_scale_001,Ilmenite,0.391875,0.261625,0.42974999999999997,0.43875,0.35162499999999997,0.22437500000000005,0.0,0.0005,0.6425000000000001,-0.03787499999999999,-0.16812499999999997
stress_holdout,calibration_shift_stress_neg,ho_scale_001,Magnetite,0.38125,0.465125,0.348875,0.49850000000000005,0.214375,0.34462499999999996,0.0,0.013125,0.627125,0.03237499999999999,0.11625000000000002
stress_holdout,calibration_shift_stress_neg,ho_scale_001,Rutile,0.260375,0.27212499999999995,0.267375,0.391625,0.290625,0.446125,0.0,0.00075,0.639,-0.006999999999999951,0.0047499999999999765
stress_holdout,calibration_shift_stress_neg,ho_scale_001,Siderite,0.29537499999999994,0.20875000000000002,0.34412499999999996,0.32237499999999997,0.4714999999999999,0.19325000000000006,0.0,0.0,0.6475,-0.048750000000000016,-0.13537499999999994
stress_holdout,calibration_shift_stress_neg,ho_scale_002,Goethite,0.2879999999999999,0.29612499999999997,0.28250000000000003,0.57425,0.23625000000000002,0.21012500000000003,0.0,0.0,0.6355,0.005499999999999894,0.013624999999999943
stress_holdout,calibration_shift_stress_neg,ho_scale_002,Hematite,0.43775,0.3042499999999999,0.42374999999999996,0.48324999999999996,0.317125,0.265875,0.0,0.004,0.64475,0.014000000000000012,-0.11950000000000005
stress_holdout,calibration_shift_stress_neg,ho_scale_002,Ilmenite,0.39475,0.26599999999999996,0.42025,0.4443750000000001,0.36412500000000003,0.23350000000000004,0.0,0.00025,0.6485,-0.025500000000000023,-0.15425000000000005
stress_holdout,calibration_shift_stress_neg,ho_scale_002,Magnetite,0.383875,0.45937500000000003,0.34362499999999996,0.498625,0.20425000000000001,0.33699999999999997,0.0,0.012625,0.62875,0.040250000000000064,0.11575000000000008
stress_holdout,calibration_shift_stress_neg,ho_scale_002,Rutile,0.26087499999999997,0.272875,0.26425,0.38025,0.29525,0.4355,0.0,0.000375,0.642625,-0.003375000000000017,0.008624999999999994
stress_holdout,calibration_shift_stress_neg,ho_scale_002,Siderite,0.30124999999999996,0.20875,0.32475,0.33275,0.45062500000000005,0.201125,0.0,0.000125,0.653125,-0.02350000000000002,-0.11599999999999999
stress_holdout,combined_stress_high,ho_scale_001,Goethite,0.202875,0.20312500000000003,0.20512500000000006,0.3283750000000001,0.180375,0.18725000000000003,0.0,0.00075,0.509125,-0.0022500000000000575,-0.0020000000000000295
stress_holdout,combined_stress_high,ho_scale_001,Hematite,0.250375,0.21400000000000002,0.254625,0.312125,0.24212499999999998,0.21875,0.0,0.003875,0.5285,-0.004249999999999976,-0.04062499999999997
stress_holdout,combined_stress_high,ho_scale_001,Ilmenite,0.248875,0.2075,0.24975,0.300875,0.247,0.21687500000000004,0.0,0.002375,0.53325,-0.0008749999999999869,-0.04225000000000001
stress_holdout,combined_stress_high,ho_scale_001,Magnetite,0.244375,0.23850000000000002,0.244375,0.303125,0.22175,0.23775000000000002,0.0,0.0052499999999999995,0.512875,0.0,-0.005874999999999991
stress_holdout,combined_stress_high,ho_scale_001,Rutile,0.22162500000000004,0.18475000000000003,0.22300000000000003,0.2545,0.242375,0.23012500000000002,0.0,0.003875,0.52825,-0.0013749999999999873,-0.038250000000000006
stress_holdout,combined_stress_high,ho_scale_001,Siderite,0.22450000000000003,0.192,0.2305,0.282625,0.25275000000000003,0.20837500000000003,0.0,0.001875,0.53525,-0.005999999999999978,-0.038500000000000006
stress_holdout,combined_stress_high,ho_scale_002,Goethite,0.206625,0.204625,0.21312500000000004,0.324875,0.1995,0.19487500000000002,0.0,0.000125,0.51725,-0.0065000000000000335,-0.008500000000000035
stress_holdout,combined_stress_high,ho_scale_002,Hematite,0.254625,0.226625,0.24849999999999997,0.31775000000000003,0.23575000000000002,0.233625,0.0,0.003,0.539625,0.006125000000000019,-0.021874999999999978
stress_holdout,combined_stress_high,ho_scale_002,Ilmenite,0.243375,0.22262500000000002,0.24612499999999998,0.317125,0.24475000000000002,0.22424999999999998,0.0,0.0035,0.543875,-0.0027499999999999747,-0.023499999999999965
stress_holdout,combined_stress_high,ho_scale_002,Magnetite,0.25325,0.24500000000000002,0.246375,0.31074999999999997,0.227375,0.25775,0.0,0.005625,0.5237499999999999,0.0068749999999999645,-0.0013749999999999873
stress_holdout,combined_stress_high,ho_scale_002,Rutile,0.233375,0.18775000000000003,0.22862500000000005,0.2607499999999999,0.24212499999999998,0.23975000000000002,0.0,0.0053750000000000004,0.54025,0.004749999999999949,-0.04087500000000002
stress_holdout,combined_stress_high,ho_scale_002,Siderite,0.2285,0.199625,0.235875,0.3005,0.252125,0.219,0.0,0.003125,0.54975,-0.007374999999999993,-0.036250000000000004
stress_holdout,nominal,ho_scale_001,Goethite,0.29112499999999997,0.3175,0.279375,0.6523749999999999,0.25049999999999994,0.23875000000000002,0.0,0.0,0.6681250000000001,0.011749999999999983,0.03812500000000002
stress_holdout,nominal,ho_scale_001,Hematite,0.5305,0.345,0.48062499999999997,0.5655,0.326125,0.31487499999999996,0.0,0.0045000000000000005,0.67825,0.049875,-0.135625
stress_holdout,nominal,ho_scale_001,Ilmenite,0.46749999999999997,0.296875,0.5082499999999999,0.4827500000000001,0.39287500000000003,0.27949999999999997,0.0,0.000375,0.681875,-0.0407499999999999,-0.21137499999999987
stress_holdout,nominal,ho_scale_001,Magnetite,0.415375,0.555625,0.38099999999999995,0.526375,0.195,0.408125,0.0,0.01925,0.65725,0.034375000000000044,0.17462500000000009
stress_holdout,nominal,ho_scale_001,Rutile,0.285625,0.30937499999999996,0.281,0.406625,0.257375,0.5395000000000001,0.0,0.00025,0.671125,0.00462499999999999,0.028374999999999928
stress_holdout,nominal,ho_scale_001,Siderite,0.32824999999999993,0.21475,0.375,0.35362499999999997,0.5640000000000001,0.221375,0.0,0.0,0.685125,-0.04675000000000007,-0.16025
stress_holdout,nominal,ho_scale_002,Goethite,0.294375,0.323125,0.2865,0.65225,0.26774999999999993,0.23412500000000003,0.0,0.0,0.66625,0.007875000000000021,0.03662500000000002
stress_holdout,nominal,ho_scale_002,Hematite,0.5373749999999999,0.32975,0.47762499999999997,0.5716249999999999,0.33499999999999996,0.314125,0.0,0.003375,0.675875,0.05974999999999997,-0.14787499999999998
stress_holdout,nominal,ho_scale_002,Ilmenite,0.47174999999999995,0.293375,0.515125,0.48712500000000003,0.405375,0.2895,0.0,0.0,0.680375,-0.04337500000000011,-0.22175000000000006
stress_holdout,nominal,ho_scale_002,Magnetite,0.41137500000000005,0.5637500000000001,0.37375,0.5197499999999999,0.18362500000000004,0.39437500000000003,0.0,0.023875,0.65825,0.03762500000000002,0.19000000000000006
stress_holdout,nominal,ho_scale_002,Rutile,0.28612499999999996,0.29824999999999996,0.28099999999999997,0.404,0.254375,0.5498749999999999,0.0,0.000125,0.670875,0.005124999999999991,0.017249999999999988
stress_holdout,nominal,ho_scale_002,Siderite,0.32062499999999994,0.21300000000000002,0.373,0.34099999999999997,0.559875,0.212625,0.0,0.000125,0.683125,-0.05237500000000006,-0.15999999999999998
stress_holdout,resolution_blur_stress_high,ho_scale_001,Goethite,0.22050000000000003,0.22187500000000002,0.21962500000000001,0.36062500000000003,0.20487500000000003,0.213625,0.0,0.000375,0.5245,0.0008750000000000147,0.002250000000000002
stress_holdout,resolution_blur_stress_high,ho_scale_001,Hematite,0.26749999999999996,0.23075,0.26475,0.325125,0.251375,0.256625,0.0,0.005124999999999999,0.5435,0.0027499999999999747,-0.033999999999999975
stress_holdout,resolution_blur_stress_high,ho_scale_001,Ilmenite,0.26325,0.23162500000000003,0.26649999999999996,0.326125,0.25775,0.24762499999999998,0.0,0.002875,0.547625,-0.003249999999999975,-0.034874999999999934
