split,physical_perturbation_profile,seed_block,material,peak_sum_hematite,peak_sum_magnetite,peak_sum_ilmenite,peak_sum_goethite,peak_sum_siderite,peak_sum_rutile,diffraction_window_hematite_unique_sum,diffraction_window_magnetite_unique_sum,diffraction_window_all_peaks_sum,hematite_minus_ilmenite_peak_sum,magnetite_minus_ilmenite_peak_sum
stress_holdout,calibration_shift_stress_neg,ho_hn_001,Goethite,0.29137499999999994,0.300125,0.28112499999999996,0.5807500000000001,0.22950000000000004,0.218375,0.0,0.0,0.62975,0.010249999999999981,0.019000000000000017
stress_holdout,calibration_shift_stress_neg,ho_hn_001,Hematite,0.444125,0.298875,0.43812499999999993,0.48425000000000007,0.338125,0.26775,0.0,0.00325,0.6395,0.006000000000000061,-0.13924999999999993
stress_holdout,calibration_shift_stress_neg,ho_hn_001,Ilmenite,0.38112499999999994,0.258625,0.42687499999999995,0.42575,0.37937499999999996,0.21887500000000004,0.0,0.00025,0.645875,-0.04575000000000001,-0.16824999999999996
stress_holdout,calibration_shift_stress_neg,ho_hn_001,Magnetite,0.37175,0.459125,0.34387499999999993,0.49450000000000005,0.21600000000000003,0.34225,0.0,0.013625,0.626,0.027875000000000094,0.11525000000000007
stress_holdout,calibration_shift_stress_neg,ho_hn_001,Rutile,0.26949999999999996,0.27725,0.26974999999999993,0.367625,0.31425000000000003,0.43674999999999997,0.0,0.00025,0.6363749999999999,-0.00024999999999997247,0.007500000000000062
stress_holdout,calibration_shift_stress_neg,ho_hn_001,Siderite,0.29562499999999997,0.21125,0.335125,0.3365,0.46375,0.19987500000000002,0.0,0.000125,0.649375,-0.039500000000000035,-0.12387500000000001
stress_holdout,calibration_shift_stress_neg,ho_hn_002,Goethite,0.295375,0.305875,0.29075,0.5740000000000001,0.23462500000000003,0.21425000000000002,0.0,0.0,0.645375,0.00462499999999999,0.015125
stress_holdout,calibration_shift_stress_neg,ho_hn_002,Hematite,0.455375,0.306375,0.45524999999999993,0.5046250000000001,0.351625,0.26812499999999995,0.0,0.00275,0.653875,0.00012500000000004174,-0.14887499999999992
stress_holdout,calibration_shift_stress_neg,ho_hn_002,Ilmenite,0.392875,0.268875,0.447625,0.44637499999999997,0.383375,0.22975,0.0,0.00025,0.65825,-0.05475000000000002,-0.17875000000000002
stress_holdout,calibration_shift_stress_neg,ho_hn_002,Magnetite,0.39587500000000003,0.47174999999999995,0.373,0.500875,0.215375,0.360625,0.0,0.0135,0.6435,0.022875000000000034,0.09874999999999995
