material,group_label,support,recall,miss_count,common_confusions,failure_status,physics_hypothesis,next_action
Hematite,high_absorption,6,0.6666666666666666,2,Magnetite:2,fail,iron_oxide_pair_similarity_current_spectral_features_insufficient,prioritize_hm_expert_features_energy_response_and_pairwise_validation
Magnetite,high_absorption,6,0.8333333333333334,1,Hematite:1,pass,iron_oxide_pair_similarity_current_spectral_features_insufficient,monitor_no_immediate_change
Pyrite,high_absorption,6,0.8333333333333334,1,Chalcopyrite:1,pass,high_absorption_sulfide_oxide_overlap,monitor_no_immediate_change
Chalcopyrite,high_absorption,6,1.0,0,,pass,high_absorption_sulfide_oxide_overlap,monitor_no_immediate_change
