material,group_label,support,recall,miss_count,common_confusions,failure_status,physics_hypothesis,next_action
Magnetite,high_absorption,60,0.65,21,Hematite:21,fail,iron_oxide_pair_similarity_current_spectral_features_insufficient,prioritize_hm_expert_features_energy_response_and_pairwise_validation
Hematite,high_absorption,60,0.6666666666666666,20,Magnetite:20,fail,iron_oxide_pair_similarity_current_spectral_features_insufficient,prioritize_hm_expert_features_energy_response_and_pairwise_validation
Chalcopyrite,high_absorption,60,1.0,0,,pass,high_absorption_sulfide_oxide_overlap,monitor_no_immediate_change
Pyrite,high_absorption,60,1.0,0,,pass,high_absorption_sulfide_oxide_overlap,monitor_no_immediate_change
