profile,run_role,material,source_id,source_mode,mono_energy_keV,thickness_mm,random_seed,expected_events,config_path,output_prefix,output_dir
v3_hm_smoke,material,Hematite,mono_40kev,mono,40.0,10.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_40kev,mono,40.0,10.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_40kev_10mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_70kev,mono,70.0,10.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_70kev,mono,70.0,10.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_70kev_10mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_110kev,mono,110.0,10.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_110kev,mono,110.0,10.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_110kev_10mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_200kev,mono,200.0,10.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_200kev,mono,200.0,10.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_200kev_10mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_40kev,mono,40.0,20.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_40kev,mono,40.0,20.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_40kev_20mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_70kev,mono,70.0,20.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_70kev,mono,70.0,20.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_70kev_20mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_110kev,mono,110.0,20.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_110kev,mono,110.0,20.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_110kev_20mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_200kev,mono,200.0,20.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1201.txt,ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Hematite,mono_200kev,mono,200.0,20.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1301.txt,ms_v3_hm_smoke_hematite_mono_200kev_20mm_seed1301,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Magnetite,mono_40kev,mono,40.0,5.0,1201,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1201,material_sorting_runs/v3_hm_smoke
v3_hm_smoke,material,Magnetite,mono_40kev,mono,40.0,5.0,1301,10000,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_40kev_5mm_seed1301,material_sorting_runs/v3_hm_smoke
