method,eval_split,physical_perturbation_profile,actual,predicted,count,rate
LogisticMulticlassMain,stress_holdout,combined_stress_high,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Quartz,Quartz,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Albite,Albite,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Calcite,Calcite,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Galena,Galena,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Hematite,Hematite,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,stress_holdout,nominal,Quartz,Quartz,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Albite,Albite,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Calcite,Calcite,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Galena,Galena,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Hematite,Hematite,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,stress_holdout,resolution_blur_stress_high,Quartz,Quartz,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Albite,Albite,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Calcite,Calcite,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Galena,Galena,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Hematite,Hematite,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Orthoclase,Orthoclase,8,1.0
