group_type,source_id,energy_keV,thickness_mm,model,feature_count,train_samples,validation_samples,top1_accuracy,macro_f1,hematite_recall,magnetite_recall,hm_min_recall,roc_auc_magnetite
single_source_fixed_thickness,mono_70kev,70.0,5.0,ExtraTrees,53,80,40,0.45,0.4444444444444444,0.35,0.55,0.35,0.5012500000000001
single_source_fixed_thickness,mono_40kev,40.0,5.0,LogisticRegression,39,80,40,0.55,0.52,0.8,0.3,0.3,0.635
single_source_fixed_thickness,mono_110kev,110.0,5.0,ExtraTrees,71,80,40,0.45,0.4373401534526854,0.6,0.3,0.3,0.5249999999999999
single_source_fixed_thickness,mono_40kev,40.0,5.0,ExtraTrees,39,80,40,0.5,0.4791666666666667,0.7,0.3,0.3,0.47624999999999995
single_source_fixed_thickness,mono_35kev,35.0,5.0,LogisticRegression,32,80,40,0.5,0.4301994301994302,0.15,0.85,0.15,0.5
single_source_fixed_thickness,mono_15kev,15.0,5.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_15kev,15.0,5.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_15kev,15.0,10.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_15kev,15.0,10.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_15kev,15.0,20.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_15kev,15.0,20.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_20kev,20.0,5.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_20kev,20.0,5.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_20kev,20.0,10.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_20kev,20.0,10.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_20kev,20.0,20.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_20kev,20.0,20.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_25kev,25.0,5.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_25kev,25.0,5.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_25kev,25.0,10.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_25kev,25.0,10.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_25kev,25.0,20.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_25kev,25.0,20.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_30kev,30.0,5.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_30kev,30.0,5.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_30kev,30.0,10.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_30kev,30.0,10.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_30kev,30.0,20.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_30kev,30.0,20.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_35kev,35.0,5.0,ExtraTrees,32,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_35kev,35.0,10.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_35kev,35.0,10.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_35kev,35.0,20.0,LogisticRegression,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_35kev,35.0,20.0,ExtraTrees,6,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_40kev,40.0,10.0,LogisticRegression,34,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_40kev,40.0,10.0,ExtraTrees,34,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_40kev,40.0,20.0,LogisticRegression,34,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_40kev,40.0,20.0,ExtraTrees,34,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_50kev,50.0,20.0,LogisticRegression,39,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
single_source_fixed_thickness,mono_50kev,50.0,20.0,ExtraTrees,39,80,40,0.5,0.3333333333333333,1.0,0.0,0.0,0.5
